Año,Año - Mes (aaaa -mm),Promedio mensual,Fin de mes
1991,1991-11-30,"687,59","694,7"
1991,1991-12-31,"630,38","638,61"
1992,1992-01-31,"645,18","644,27"
1992,1992-02-29,"635,53","636,54"
1992,1992-03-31,"640,33","641,59"
1992,1992-04-30,"649,16","653,83"
1992,1992-05-31,"659,81","664,37"
1992,1992-06-30,"675,79","697,57"
1992,1992-07-31,"704,5","705,14"
1992,1992-08-31,"693,72","691,68"
1992,1992-09-30,"697,11","702,81"
1992,1992-10-31,"707,65","716,88"
1992,1992-11-30,"722,43","725,45"
1992,1992-12-31,"733,42","737,98"
1993,1993-01-31,"745,52","746,05"
1993,1993-02-28,"749,08","758,03"
1993,1993-03-31,"764,38","766,41"
1993,1993-04-30,"771,79","774,94"
1993,1993-05-31,"779,71","779,56"
1993,1993-06-30,"784,24","787,12"
1993,1993-07-31,"795,08","801,35"
1993,1993-08-31,"804,61","806,86"
1993,1993-09-30,"809,66","810,84"
1993,1993-10-31,"814,45","817,03"
1993,1993-11-30,"814,08","811,73"
1993,1993-12-31,"803,56","804,33"
1994,1994-01-31,"816,15","818,38"
1994,1994-02-28,"817,67","819,7"
1994,1994-03-31,"819,76","819,51"
1994,1994-04-30,"829,87","836,86"
1994,1994-05-31,"841,43","841,12"
1994,1994-06-30,"830,94","819,64"
1994,1994-07-31,"819,06","815,62"
1994,1994-08-31,"814,82","816,3"
1994,1994-09-30,"830,06",842
1994,1994-10-31,"839,32","838,55"
1994,1994-11-30,"830,03","829,03"
1994,1994-12-31,"829,37","831,27"
1995,1995-01-31,"846,63","856,41"
1995,1995-02-28,"850,9","856,99"
1995,1995-03-31,"865,83","880,23"
1995,1995-04-30,"873,39","877,9"
1995,1995-05-31,"876,95","876,36"
1995,1995-06-30,"874,86","881,23"
1995,1995-07-31,"893,22","897,63"
1995,1995-08-31,"935,1","960,19"
1995,1995-09-30,"964,17","966,78"
1995,1995-10-31,"984,96","994,5"
1995,1995-11-30,"1000,58","998,16"
1995,1995-12-31,"988,15","987,65"
1996,1996-01-31,"1011,19","1028,14"
1996,1996-02-29,"1029,64","1039,81"
1996,1996-03-31,"1044,98",1046
1996,1996-04-30,"1050,93","1058,9"
1996,1996-05-31,"1066,24","1073,06"
1996,1996-06-30,"1071,96","1069,11"
1996,1996-07-31,"1064,1","1056,74"
1996,1996-08-31,"1044,84","1042,32"
1996,1996-09-30,"1040,84","1025,06"
1996,1996-10-31,"1015,78","1005,83"
1996,1996-11-30,"998,18","1002,28"
1996,1996-12-31,"1000,79","1005,33"
1997,1997-01-31,"1027,06","1070,97"
1997,1997-02-28,"1074,24","1080,51"
1997,1997-03-31,"1062,16","1059,88"
1997,1997-04-30,"1060,65","1063,11"
1997,1997-05-31,"1075,18","1077,09"
1997,1997-06-30,"1082,37","1089,01"
1997,1997-07-31,"1102,4","1109,65"
1997,1997-08-31,"1132,7","1172,28"
1997,1997-09-30,"1222,49","1246,27"
1997,1997-10-31,"1262,89","1281,2"
1997,1997-11-30,"1294,56","1305,66"
1997,1997-12-31,"1296,7","1293,58"
1998,1998-01-31,"1323,16",1342
1998,1998-02-28,"1346,12","1343,85"
1998,1998-03-31,"1357,1","1358,03"
1998,1998-04-30,"1360,65","1365,72"
1998,1998-05-31,"1386,28","1397,07"
1998,1998-06-30,"1386,61","1363,04"
1998,1998-07-31,"1371,54","1370,65"
1998,1998-08-31,"1390,46","1440,87"
1998,1998-09-30,"1520,52","1556,15"
1998,1998-10-31,"1587,38","1575,08"
1998,1998-11-30,"1562,71","1547,11"
1998,1998-12-31,"1524,56","1542,11"
1999,1999-01-31,"1570,01","1582,9"
1999,1999-02-28,"1567,07","1568,3"
1999,1999-03-31,"1550,15","1533,51"
1999,1999-04-30,"1574,67","1604,44"
1999,1999-05-31,"1641,33","1671,67"
1999,1999-06-30,"1693,99","1732,1"
1999,1999-07-31,"1818,63","1809,5"
1999,1999-08-31,"1876,93","1954,72"
1999,1999-09-30,"1975,64","2017,27"
1999,1999-10-31,"1978,71","1971,59"
1999,1999-11-30,"1944,64","1923,77"
1999,1999-12-31,"1888,46","1873,77"
2000,2000-01-31,"1923,57","1976,72"
2000,2000-02-29,"1950,64","1946,17"
2000,2000-03-31,"1956,25","1951,56"
2000,2000-04-30,"1986,77","2004,47"
2000,2000-05-31,"2055,69","2084,92"
2000,2000-06-30,"2120,17","2139,11"
2000,2000-07-31,"2161,34","2172,79"
2000,2000-08-31,"2187,38","2208,21"
2000,2000-09-30,"2213,76","2212,26"
2000,2000-10-31,"2176,61","2158,36"
2000,2000-11-30,"2136,63","2172,84"
2000,2000-12-31,"2186,21","2229,18"
2001,2001-01-31,"2241,4","2240,8"
2001,2001-02-28,"2243,42","2257,45"
2001,2001-03-31,"2278,78","2310,57"
2001,2001-04-30,"2323,1","2346,73"
2001,2001-05-31,"2346,93","2324,98"
2001,2001-06-30,"2305,66","2298,85"
2001,2001-07-31,"2304,28","2298,27"
2001,2001-08-31,"2288,9","2301,23"
2001,2001-09-30,"2328,23","2332,19"
2001,2001-10-31,"2320,65","2310,02"
2001,2001-11-30,"2310,47","2308,59"
2001,2001-12-31,"2306,9","2291,18"
2002,2002-01-31,"2274,96","2264,82"
2002,2002-02-28,"2286,7","2309,82"
2002,2002-03-31,"2282,33","2261,23"
2002,2002-04-30,"2263,11","2275,35"
2002,2002-05-31,"2310,24","2321,16"
2002,2002-06-30,"2364,25","2398,82"
2002,2002-07-31,"2506,72","2625,06"
2002,2002-08-31,"2647,22","2703,55"
2002,2002-09-30,"2751,23","2828,08"
2002,2002-10-31,"2827,86","2773,73"
2002,2002-11-30,"2726,66","2784,21"
2002,2002-12-31,"2814,89","2864,79"
2003,2003-01-31,2913,"2926,46"
2003,2003-02-28,"2951,86","2956,31"
2003,2003-03-31,"2959,01","2958,25"
2003,2003-04-30,"2926,62","2887,82"
2003,2003-05-31,"2858,94","2853,33"
2003,2003-06-30,"2826,95","2817,32"
2003,2003-07-31,"2858,82","2880,4"
2003,2003-08-31,"2867,29","2832,94"
2003,2003-09-30,"2840,08","2889,39"
2003,2003-10-31,"2876,2","2884,17"
2003,2003-11-30,"2844,55","2836,05"
2003,2003-12-31,"2807,2","2778,21"
2004,2004-01-31,"2749,14","2742,47"
2004,2004-02-29,"2717,94","2682,34"
2004,2004-03-31,"2670,8","2678,16"
2004,2004-04-30,"2639,6","2646,99"
2004,2004-05-31,"2719,43","2724,92"
2004,2004-06-30,"2716,56","2699,58"
2004,2004-07-31,"2653,32","2612,44"
2004,2004-08-31,"2598,59","2551,43"
2004,2004-09-30,"2552,78","2595,17"
2004,2004-10-31,"2580,7","2575,19"
2004,2004-11-30,"2530,19","2479,1"
2004,2004-12-31,"2411,37","2389,75"
2005,2005-01-31,"2362,96","2367,76"
2005,2005-02-28,"2340,49","2323,77"
2005,2005-03-31,"2353,71","2376,48"
2005,2005-04-30,"2350,01","2348,32"
2005,2005-05-31,"2339,22","2332,79"
2005,2005-06-30,"2331,79","2331,81"
2005,2005-07-31,"2323,38","2308,49"
2005,2005-08-31,"2306,19","2304,3"
2005,2005-09-30,"2294,52","2289,61"
